DEN,DEN vs. LAL,01/09/2023,W,240,122,46,99,46.5,15,42,35.7,15,17,88.2,14,41,55,29,7,11,17,19,13
NOP,NOP @ WAS,01/09/2023,W,240,132,49,93,52.7,10,26,38.5,24,31,77.4,12,32,44,24,9,5,10,21,20
LAL,LAL @ DEN,01/09/2023,L,240,109,41,93,44.1,8,28,28.6,19,25,76.0,11,33,44,20,12,2,14,14,-13
WAS,WAS vs. NOP,01/09/2023,L,240,112,42,82,51.2,14,34,41.2,14,18,77.8,7,30,37,26,5,1,20,25,-20
ATL,ATL @ LAC,01/08/2023,W,240,112,44,89,49.4,8,26,30.8,16,20,80.0,7,36,43,22,7,9,9,18,4
PHI,PHI @ DET,01/08/2023,W,240,123,46,94,48.9,11,37,29.7,20,23,87.0,14,30,44,24,12,5,14,17,12
DET,DET vs. PHI,01/08/2023,L,240,111,44,87,50.6,8,23,34.8,15,18,83.3,10,33,43,25,9,2,23,20,-12
LAC,LAC vs. ATL,01/08/2023,L,240,108,37,95,38.9,10,30,33.3,24,31,77.4,21,38,59,25,6,5,11,19,-4
POR,POR @ TOR,01/08/2023,L,240,105,34,76,44.7,9,30,30.0,28,37,75.7,10,32,42,19,5,4,24,24,-12
DAL,DAL @ OKC,01/08/2023,L,240,109,31,73,42.5,14,39,35.9,33,42,78.6,8,31,39,21,3,1,13,19,-11
TOR,TOR vs. POR,01/08/2023,W,240,117,40,91,44.0,12,31,38.7,25,29,86.2,13,28,41,26,12,8,10,28,12
UTA,UTA @ MEM,01/08/2023,L,240,118,45,88,51.1,10,32,31.3,18,22,81.8,8,38,46,29,7,9,21,18,-5
MEM,MEM vs. UTA,01/08/2023,W,240,123,46,102,45.1,15,38,39.5,16,22,72.7,13,26,39,28,16,7,10,19,5
PHX,PHX vs. CLE,01/08/2023,L,240,98,37,84,44.0,14,26,53.8,10,11,90.9,6,30,36,22,7,2,16,14,-14
CLE,CLE @ PHX,01/08/2023,W,240,112,45,78,57.7,11,29,37.9,11,17,64.7,3,36,39,29,8,5,14,12,14
BKN,BKN @ MIA,01/08/2023,W,240,102,39,76,51.3,12,33,36.4,12,15,80.0,6,34,40,22,8,8,19,21,1
IND,IND vs. CHA,01/08/2023,W,240,116,38,87,43.7,13,38,34.2,27,33,81.8,8,33,41,27,14,7,16,22,5
CHA,CHA @ IND,01/08/2023,L,240,111,38,88,43.2,11,33,33.3,24,27,88.9,13,36,49,25,8,4,18,26,-5
HOU,HOU vs. MIN,01/08/2023,L,240,96,38,89,42.7,11,36,30.6,9,15,60.0,12,29,41,26,8,7,20,19,-8
MIN,MIN @ HOU,01/08/2023,W,240,104,38,80,47.5,10,28,35.7,18,22,81.8,9,35,44,23,8,4,19,18,8
